time ,time better,input ,oputput
55.6,0,0.565,5.031
55.7,0.1,0.717,5.11
55.8,0.2,0.841,5.241
55.9,0.3,0.932,5.413
56,0.4,0.985,5.606
56.1,0.5,1,5.794
56.2,0.6,0.974,5.954
56.3,0.7,0.909,6.063
56.4,0.8,0.808,6.108
56.5,0.9,0.675,6.085
56.6,1,0.516,5.994
56.7,1.1,0.335,5.847
56.8,1.2,0.141,5.656
56.9,1.3,-0.058,5.436
57,1.4,-0.256,5.203
57.1,1.5,-0.443,4.972
57.2,1.6,-0.612,4.753
57.3,1.7,-0.757,4.554
57.4,1.8,-0.872,4.381
57.5,1.9,-0.952,4.238
57.6,2,-0.994,4.127
57.7,2.1,-0.996,4.049
57.8,2.2,-0.959,4.005
57.9,2.3,-0.883,3.996
58,2.4,-0.773,4.022
58.1,2.5,-0.631,4.083
58.2,2.6,-0.465,4.179
58.3,2.7,-0.279,4.306
58.4,2.8,-0.083,4.461
58.5,2.9,0.117,4.639
58.6,3,0.312,4.834
58.7,3.1,0.494,5.038
58.8,3.2,0.657,5.242
58.9,3.3,0.794,5.437
59,3.4,0.899,5.616
59.1,3.5,0.968,5.77
59.2,3.6,0.999,5.893
59.3,3.7,0.989,5.979
59.4,3.8,0.941,6.025
59.5,3.9,0.855,6.029
59.6,4,0.734,5.992
59.7,4.1,0.585,5.915
59.8,4.2,0.412,5.801
59.9,4.3,0.223,5.656
60,4.4,0.025,5.485
60.1,4.5,-0.174,5.295
60.2,4.6,-0.366,5.094
60.3,4.7,-0.544,4.889
60.4,4.8,-0.7,4.689
60.5,4.9,-0.828,4.501
60.6,5,-0.923,4.334
60.7,5.1,-0.981,4.192
60.8,5.2,-1,4.082
60.9,5.3,-0.979,4.009
61,5.4,-0.919,3.975
61.1,5.5,-0.823,3.982
61.2,5.6,-0.694,4.03
61.3,5.7,-0.537,4.116
61.4,5.8,-0.358,4.238
61.5,5.9,-0.166,4.39
61.6,6,0.034,4.566
61.7,6.1,0.232,4.76
61.8,6.2,0.42,4.963
61.9,6.3,0.592,5.168
62,6.4,0.74,5.366
62.1,6.5,0.859,5.55
62.2,6.6,0.944,5.712
62.3,6.7,0.991,5.845
62.4,6.8,0.998,5.944
62.5,6.9,0.966,6.006
62.6,7,0.895,6.028
62.7,7.1,0.788,6.008
62.8,7.2,0.65,5.949
62.9,7.3,0.486,5.851
63,7.4,0.303,5.72
63.1,7.5,0.108,5.56
63.2,7.6,-0.092,5.378
63.3,7.7,-0.288,5.181
63.4,7.8,-0.472,4.976
63.5,7.9,-0.638,4.773
63.6,8,-0.778,4.578
63.7,8.1,-0.888,4.4
63.8,8.2,-0.961,4.247
63.9,8.3,-0.997,4.123
64,8.4,-0.993,4.034
64.1,8.5,-0.949,3.984
64.2,8.6,-0.867,3.974
64.3,8.7,-0.751,4.005
64.4,8.8,-0.605,4.076
64.5,8.9,-0.435,4.183
64.6,9,-0.247,4.324
64.7,9.1,-0.05,4.491
64.8,9.2,0.15,4.678
64.9,9.3,0.343,4.879
65,9.4,0.523,5.084
65.1,9.5,0.682,5.285
65.2,9.6,0.814,5.476
65.3,9.7,0.913,5.647
65.4,9.8,0.976,5.793
65.5,9.9,1,5.907
65.6,10,0.984,5.985
65.7,10.1,0.929,6.023
65.8,10.2,0.837,6.021
65.9,10.3,0.711,5.978
66,10.4,0.557,5.896
66.1,10.5,0.381,5.779
66.2,10.6,0.19,5.63
66.3,10.7,-0.009,5.456
66.4,10.8,-0.207,5.264
66.5,10.9,-0.398,5.062
66.6,11,-0.572,4.857
66.7,11.1,-0.723,4.657
66.8,11.2,-0.846,4.472
66.9,11.3,-0.935,4.307
67,11.4,-0.987,4.17
67.1,11.5,-0.999,4.066
67.2,11.6,-0.972,4
67.3,11.7,-0.906,3.973
67.4,11.8,-0.803,3.987
67.5,11.9,-0.669,4.042
67.6,12,-0.508,4.134
67.7,12.1,-0.327,4.262
67.8,12.2,-0.132,4.418
67.9,12.3,0.067,4.598
68,12.4,0.264,4.794
68.1,12.5,0.45,4.998
68.2,12.6,0.619,5.202
68.3,12.7,0.763,5.399
68.4,12.8,0.876,5.579
68.5,12.9,0.954,5.736
68.6,13,0.995,5.864
68.7,13.1,0.995,5.957
68.8,13.2,0.956,6.012
68.9,13.3,0.879,6.027
69,13.4,0.767,6.001
69.1,13.5,0.624,5.935
69.2,13.6,0.457,5.832
69.3,13.7,0.271,5.695
69.4,13.8,0.074,5.531
69.5,13.9,-0.125,5.346
69.6,14,-0.32,5.147
69.7,14.1,-0.502,4.942
69.8,14.2,-0.664,4.739
69.9,14.3,-0.799,4.547
70,14.4,-0.903,4.373
70.1,14.5,-0.97,4.224
70.2,14.6,-0.999,4.105
70.3,14.7,-0.988,4.023
70.4,14.8,-0.938,3.979
70.5,14.9,-0.85,3.976
70.6,15,-0.728,4.014
70.7,15.1,-0.578,4.091
70.8,15.2,-0.404,4.205
70.9,15.3,-0.214,4.35
71,15.4,-0.016,4.521
71.1,15.5,0.183,4.711
71.2,15.6,0.375,4.913
71.3,15.7,0.551,5.118
71.4,15.8,0.706,5.318
71.5,15.9,0.833,5.506
71.6,16,0.926,5.674
71.7,16.1,0.983,5.814
71.8,16.2,1,5.923
71.9,16.3,0.977,5.994
72,16.4,0.916,6.026
72.1,16.5,0.818,6.017
72.2,16.6,0.687,5.967
