Time(s),Input,Output_Displacement
1.6,0.248,5.194
1.7,0.258,5.203
1.8,0.267,5.211
1.9,0.277,5.219
2,0.286,5.228
2.1,0.296,5.236
2.2,0.305,5.244
2.3,0.315,5.252
2.4,0.324,5.260
2.5,0.334,5.269
2.6,0.343,5.277
2.7,0.353,5.285
2.8,0.362,5.293
2.9,0.371,5.301
3,0.381,5.309
3.1,0.390,5.317
3.2,0.399,5.325
3.3,0.408,5.333
3.4,0.417,5.340
3.5,0.426,5.348
3.6,0.435,5.356
3.7,0.444,5.364
3.8,0.453,5.372
3.9,0.462,5.379
4,0.471,5.387
4.1,0.480,5.394
4.2,0.489,5.402
4.3,0.497,5.410
4.4,0.506,5.417
4.5,0.515,5.425
4.6,0.523,5.432
4.7,0.532,5.439
4.8,0.540,5.447
4.9,0.548,5.454
5,0.557,5.461
5.1,0.565,5.468
5.2,0.573,5.475
5.3,0.581,5.482
5.4,0.590,5.490
5.5,0.598,5.497
5.6,0.606,5.503
5.7,0.613,5.510
5.8,0.621,5.517
5.9,0.629,5.524
5.99999999999999,0.637,5.531
6.09999999999999,0.645,5.537
6.19999999999999,0.652,5.544
6.29999999999999,0.660,5.551
6.39999999999999,0.667,5.557
6.49999999999999,0.675,5.564
6.59999999999999,0.682,5.570
6.69999999999999,0.689,5.576
6.79999999999999,0.696,5.583
6.89999999999999,0.704,5.589
6.99999999999999,0.711,5.595
7.09999999999999,0.718,5.601
7.19999999999999,0.725,5.607
7.29999999999999,0.731,5.613
7.39999999999999,0.738,5.619
7.49999999999999,0.745,5.625
7.59999999999999,0.752,5.631
7.69999999999999,0.758,5.637
7.79999999999999,0.765,5.642
7.89999999999999,0.771,5.648
7.99999999999999,0.777,5.653
8.09999999999999,0.784,5.659
8.19999999999999,0.790,5.664
8.29999999999999,0.796,5.670
8.39999999999999,0.802,5.675
8.49999999999999,0.808,5.680
8.59999999999999,0.814,5.685
8.69999999999999,0.819,5.690
8.79999999999998,0.825,5.695
8.89999999999998,0.831,5.700
8.99999999999998,0.836,5.705
9.09999999999998,0.842,5.710
9.19999999999998,0.847,5.715
9.29999999999998,0.852,5.719
9.39999999999998,0.858,5.724
9.49999999999998,0.863,5.729
9.59999999999998,0.868,5.733
9.69999999999998,0.873,5.737
9.79999999999998,0.877,5.742
9.89999999999998,0.882,5.746
9.99999999999998,0.887,5.750
10.1,0.891,5.754
10.2,0.896,5.758
10.3,0.900,5.762
10.4,0.905,5.766
10.5,0.909,5.770
10.6,0.913,5.773
10.7,0.917,5.777
10.8,0.921,5.781
10.9,0.925,5.784
11,0.929,5.787
11.1,0.932,5.791
11.2,0.936,5.794
11.3,0.939,5.797
11.4,0.943,5.800
11.5,0.946,5.803
11.6,0.949,5.806
11.7,0.952,5.809
11.8,0.955,5.812
11.9,0.958,5.814
12,0.961,5.817
12.1,0.964,5.819
12.2,0.966,5.822
12.3,0.969,5.824
12.4,0.971,5.826
12.5,0.974,5.828
12.6,0.976,5.831
12.7,0.978,5.833
12.8,0.980,5.834
12.9,0.982,5.836
13,0.984,5.838
13.1,0.986,5.840
13.2,0.987,5.841
13.3,0.989,5.843
13.4,0.990,5.844
13.5,0.992,5.846
13.6,0.993,5.847
13.7,0.994,5.848
13.8,0.995,5.849
13.9,0.996,5.850
14,0.997,5.851
14.1,0.998,5.852
14.2,0.998,5.853
14.3,0.999,5.853
14.4,0.999,5.854
14.5,1.000,5.854
14.6,1.000,5.855
14.7,1.000,5.855
14.8,1.000,5.855
14.9,1.000,5.855
15,1.000,5.855
15.1,1.000,5.855
15.2,0.999,5.855
15.3,0.999,5.855
15.4,0.998,5.855
15.5,0.998,5.854
15.6,0.997,5.854
15.7,0.996,5.853
15.8,0.995,5.853
15.9,0.994,5.852
16,0.993,5.851
16.1,0.992,5.850
16.2,0.990,5.849
16.3,0.989,5.848
16.4,0.987,5.847
16.5,0.986,5.846
16.6,0.984,5.845
16.7,0.982,5.843
16.8,0.980,5.842
16.9,0.978,5.840
17,0.976,5.839
17.1,0.974,5.837
17.2,0.971,5.835
17.3,0.969,5.833
17.4,0.966,5.831
17.5,0.964,5.829
17.6,0.961,5.827
17.7,0.958,5.825
17.8,0.955,5.822
17.9,0.952,5.820
18,0.949,5.818
18.1,0.946,5.815
18.2,0.943,5.812
18.3,0.939,5.810
18.4,0.936,5.807
18.5,0.932,5.804
18.6,0.929,5.801
18.7,0.925,5.798
18.8,0.921,5.795
18.9,0.917,5.792
19,0.913,5.788
19.1,0.909,5.785
19.2,0.905,5.782
19.3,0.901,5.778
19.4,0.896,5.774
19.5,0.892,5.771
19.6,0.887,5.767
19.7,0.882,5.763
19.8,0.878,5.759
19.9,0.873,5.755
20,0.868,5.751
20.1,0.863,5.747
20.2,0.858,5.743
20.3,0.853,5.739
20.4,0.847,5.734
20.5,0.842,5.730
20.6,0.837,5.725
20.7,0.831,5.721
20.8,0.826,5.716
20.9,0.820,5.711
21,0.814,5.707
21.1,0.808,5.702
21.2,0.802,5.697
21.3,0.796,5.692
21.4,0.790,5.687
21.5,0.784,5.682
21.6,0.778,5.677
21.7,0.771,5.671
21.8,0.765,5.666
21.9,0.759,5.661
22,0.752,5.655
22.1,0.745,5.650
22.2,0.739,5.644
22.3,0.732,5.638
22.4,0.725,5.633
22.5,0.718,5.627
22.6000000000001,0.711,5.621
22.7000000000001,0.704,5.615
22.8000000000001,0.697,5.609
22.9000000000001,0.690,5.603
23.0000000000001,0.682,5.597
23.1000000000001,0.675,5.591
23.2000000000001,0.668,5.584
23.3000000000001,0.660,5.578
23.4000000000001,0.653,5.572
23.5000000000001,0.645,5.565
23.6000000000001,0.637,5.559
23.7000000000001,0.630,5.553
23.8000000000001,0.622,5.546
23.9000000000001,0.614,5.539
24.0000000000001,0.606,5.533
24.1000000000001,0.598,5.526
24.2000000000001,0.590,5.519
24.3000000000001,0.582,5.512
24.4000000000001,0.574,5.506
24.5000000000001,0.566,5.499
24.6000000000001,0.557,5.492
24.7000000000001,0.549,5.485
24.8000000000001,0.541,5.478
24.9000000000001,0.532,5.470
25.0000000000001,0.524,5.463
25.1000000000001,0.515,5.456
25.2000000000001,0.507,5.449
25.3000000000001,0.498,5.441
25.4000000000001,0.489,5.434
25.5000000000001,0.480,5.427
25.6000000000001,0.472,5.419
25.7000000000001,0.463,5.412
25.8000000000001,0.454,5.404
25.9000000000001,0.445,5.397
26.0000000000001,0.436,5.389
26.1000000000001,0.427,5.381
26.2000000000001,0.418,5.374
26.3000000000001,0.409,5.366
26.4000000000001,0.400,5.358
26.5000000000001,0.390,5.351
26.6000000000001,0.381,5.343
26.7000000000001,0.372,5.335
26.8000000000001,0.363,5.327
26.9000000000001,0.353,5.319
27.0000000000001,0.344,5.311
27.1000000000001,0.335,5.303
27.2000000000001,0.325,5.295
27.3000000000001,0.316,5.287
27.4000000000001,0.306,5.279
27.5000000000001,0.297,5.271
27.6000000000001,0.287,5.263
27.7000000000001,0.277,5.255
27.8000000000001,0.268,5.246
27.9000000000001,0.258,5.238
28.0000000000001,0.249,5.230
28.1000000000001,0.239,5.222
28.2000000000001,0.229,5.214
28.3000000000001,0.219,5.205
28.4000000000001,0.210,5.197
28.5000000000001,0.200,5.189
28.6000000000001,0.190,5.180
28.7000000000001,0.180,5.172
28.8000000000001,0.170,5.163
28.9000000000001,0.160,5.155
29.0000000000001,0.151,5.147
29.1000000000001,0.141,5.138
29.2000000000001,0.131,5.130
29.3000000000001,0.121,5.121
29.4000000000001,0.111,5.113
29.5000000000001,0.101,5.104
29.6000000000002,0.091,5.096
29.7000000000002,0.081,5.087
29.8000000000002,0.071,5.079
29.9000000000002,0.061,5.070
30.0000000000002,0.051,5.062
30.1000000000002,0.041,5.053
30.2000000000002,0.031,5.045
30.3000000000002,0.021,5.036
30.4000000000002,0.011,5.028
30.5000000000002,0.001,5.019
30.6000000000002,-0.009,5.011
30.7000000000002,-0.019,5.002
30.8000000000002,-0.029,4.993
30.9000000000002,-0.039,4.985
31.0000000000002,-0.049,4.976
31.1000000000002,-0.059,4.968
31.2000000000002,-0.069,4.959
31.3000000000002,-0.079,4.951
31.4000000000002,-0.089,4.942
31.5000000000002,-0.099,4.934
31.6000000000002,-0.109,4.925
31.7000000000002,-0.119,4.917
31.8000000000002,-0.128,4.908
31.9000000000002,-0.138,4.900
32.0000000000002,-0.148,4.891
32.1000000000002,-0.158,4.883
32.2000000000002,-0.168,4.874
32.3000000000002,-0.178,4.866
32.4000000000002,-0.188,4.857
32.5000000000002,-0.198,4.849
32.6000000000002,-0.207,4.840
32.7000000000002,-0.217,4.832
32.8000000000002,-0.227,4.824
32.9000000000002,-0.237,4.815
33.0000000000002,-0.246,4.807
33.1000000000002,-0.256,4.799
33.2000000000002,-0.266,4.790
33.3000000000002,-0.275,4.782
33.4000000000002,-0.285,4.774
33.5000000000002,-0.294,4.765
33.6000000000002,-0.304,4.757
33.7000000000002,-0.313,4.749
33.8000000000002,-0.323,4.741
33.9000000000002,-0.332,4.733
34.0000000000002,-0.342,4.725
34.1000000000002,-0.351,4.717
34.2000000000002,-0.361,4.709
34.3000000000002,-0.370,4.701
34.4000000000002,-0.379,4.693
34.5000000000002,-0.388,4.685
34.6000000000002,-0.398,4.677
34.7000000000002,-0.407,4.669
34.8000000000002,-0.416,4.661
34.9000000000002,-0.425,4.653
35.0000000000002,-0.434,4.645
35.1000000000002,-0.443,4.637
35.2000000000002,-0.452,4.630
35.3000000000002,-0.461,4.622
35.4000000000002,-0.470,4.614
35.5000000000002,-0.478,4.607
35.6000000000002,-0.487,4.599
35.7000000000002,-0.496,4.592
35.8000000000002,-0.505,4.584
35.9000000000002,-0.513,4.577
36.0000000000002,-0.522,4.569
36.1000000000002,-0.530,4.562
36.2000000000002,-0.539,4.555
36.3000000000002,-0.547,4.547
36.4000000000002,-0.555,4.540
36.5000000000002,-0.564,4.533
36.6000000000003,-0.572,4.526
36.7000000000003,-0.580,4.519
36.8000000000003,-0.588,4.512
36.9000000000003,-0.596,4.505
37.0000000000003,-0.604,4.498
37.1000000000003,-0.612,4.491
37.2000000000003,-0.620,4.484
37.3000000000003,-0.628,4.477
37.4000000000003,-0.636,4.470
37.5000000000003,-0.643,4.464
37.6000000000003,-0.651,4.457
37.7000000000003,-0.659,4.450
37.8000000000003,-0.666,4.444
37.9000000000003,-0.673,4.437
38.0000000000003,-0.681,4.431
38.1000000000003,-0.688,4.425
38.2000000000003,-0.695,4.418
38.3000000000003,-0.702,4.412
38.4000000000003,-0.710,4.406
38.5000000000003,-0.717,4.400
38.6000000000003,-0.723,4.394
38.7000000000003,-0.730,4.388
38.8000000000003,-0.737,4.382
38.9000000000003,-0.744,4.376
39.0000000000003,-0.751,4.370
39.1000000000003,-0.757,4.364
39.2000000000003,-0.764,4.359
39.3000000000003,-0.770,4.353
39.4000000000003,-0.776,4.347
39.5000000000003,-0.783,4.342
39.6000000000003,-0.789,4.337
39.7000000000003,-0.795,4.331
39.8000000000003,-0.801,4.326
